Period,Trip Purpose,Type of tourist,Tourists,Frequency
2022,Business,Inbound,105.343,Annual
2022,Visiting Friends & Relatives,Inbound,224.634,Annual
2022,Other,Inbound,51.245,Annual
2022,Religious,Inbound,199.166,Annual
2022,Leisure,Inbound,94.781,Annual
2022,Business,Inbound,107.211,Annual
2022,Visiting Friends & Relatives,Inbound,217.939,Annual
2022,Other,Inbound,69.943,Annual
2022,Religious,Inbound,371.53,Annual
2022,Leisure,Inbound,143.001,Annual
2022,Business,Inbound,162.75,Annual
2022,Visiting Friends & Relatives,Inbound,407.161,Annual
2022,Other,Inbound,132.671,Annual
2022,Religious,Inbound,720.857,Annual
2022,Leisure,Inbound,164.461,Annual
2022,Business,Inbound,175.428,Annual
2022,Visiting Friends & Relatives,Inbound,437.072,Annual
2022,Other,Inbound,114.668,Annual
2022,Religious,Inbound,280.005,Annual
2022,Leisure,Inbound,103.096,Annual
2022,Business,Inbound,141.474,Annual
2022,Visiting Friends & Relatives,Inbound,473.081,Annual
2022,Other,Inbound,106.716,Annual
2022,Religious,Inbound,13.233,Annual
2022,Leisure,Inbound,66.961,Annual
2022,Business,Inbound,150.989,Annual
2022,Visiting Friends & Relatives,Inbound,521.824,Annual
2022,Other,Inbound,114.209,Annual
2022,Religious,Inbound,809.919,Annual
2022,Leisure,Inbound,122.463,Annual
2022,Business,Inbound,114.53,Annual
2022,Visiting Friends & Relatives,Inbound,536.926,Annual
2022,Other,Inbound,181.787,Annual
2022,Religious,Inbound,369.761,Annual
2022,Leisure,Inbound,147.537,Annual
2022,Business,Inbound,139.504,Annual
2022,Visiting Friends & Relatives,Inbound,470.976,Annual
2022,Other,Inbound,182.794,Annual
2022,Religious,Inbound,618.299,Annual
2022,Leisure,Inbound,215.272,Annual
2022,Business,Inbound,140.42,Annual
2022,Visiting Friends & Relatives,Inbound,474.835,Annual
2022,Other,Inbound,90.152,Annual
2022,Religious,Inbound,819.947,Annual
2022,Leisure,Inbound,285.102,Annual
2022,Business,Inbound,146.041,Annual
2022,Visiting Friends & Relatives,Inbound,429.479,Annual
2022,Other,Inbound,72.205,Annual
2022,Religious,Inbound,823.165,Annual
2022,Leisure,Inbound,404.009,Annual
2022,Business,Inbound,138.716,Annual
2022,Visiting Friends & Relatives,Inbound,384.382,Annual
2022,Other,Inbound,89.749,Annual
2022,Religious,Inbound,885.591,Annual
2022,Leisure,Inbound,635.843,Annual
2022,Business,Inbound,144.287,Annual
2022,Visiting Friends & Relatives,Inbound,553.787,Annual
2022,Other,Inbound,171.218,Annual
2023,Religious,Inbound,1035.0,Annual
2023,Leisure,Inbound,523.0,Annual
2023,Business,Inbound,150.0,Annual
2023,Visiting Friends & Relatives,Inbound,609.0,Annual
2023,Other,Inbound,164.0,Annual
2023,Religious,Inbound,1105.0,Annual
2023,Leisure,Inbound,514.0,Annual
2023,Business,Inbound,144.0,Annual
2023,Visiting Friends & Relatives,Inbound,536.0,Annual
2023,Other,Inbound,157.0,Annual
2023,Religious,Inbound,1378.0,Annual
2023,Leisure,Inbound,533.0,Annual
2023,Business,Inbound,165.0,Annual
2023,Visiting Friends & Relatives,Inbound,648.0,Annual
2023,Other,Inbound,146.0,Annual
2023,Religious,Inbound,1005.0,Annual
2023,Leisure,Inbound,549.0,Annual
2023,Business,Inbound,147.0,Annual
2023,Visiting Friends & Relatives,Inbound,601.0,Annual
2023,Other,Inbound,122.0,Annual
2023,Religious,Inbound,348.0,Annual
2023,Leisure,Inbound,386.0,Annual
2023,Business,Inbound,166.0,Annual
2023,Visiting Friends & Relatives,Inbound,513.0,Annual
2023,Other,Inbound,101.0,Annual
2023,Religious,Inbound,1715.0,Annual
2023,Leisure,Inbound,424.0,Annual
2023,Business,Inbound,129.0,Annual
2023,Visiting Friends & Relatives,Inbound,479.0,Annual
2023,Religious,Inbound,185.0,Annual
2023,Leisure,Inbound,453.0,Annual
2023,Business,Inbound,132.0,Annual
2023,Visiting Friends & Relatives,Inbound,457.0,Annual
2023,Other,Inbound,124.0,Annual
2023,Religious,Inbound,749.0,Annual
2023,Leisure,Inbound,580.0,Annual
2023,Business,Inbound,146.0,Annual
2023,Visiting Friends & Relatives,Inbound,507.0,Annual
2023,Other,Inbound,127.0,Annual
2023,Religious,Inbound,861.0,Annual
2023,Leisure,Inbound,469.0,Annual
2023,Visiting Friends & Relatives,Inbound,448.0,Annual
2023,Other,Inbound,115.0,Annual
2023,Religious,Inbound,981.0,Annual
2023,Leisure,Inbound,513.0,Annual
2023,Business,Inbound,169.0,Annual
2023,Visiting Friends & Relatives,Inbound,402.0,Annual
2023,Other,Inbound,126.0,Annual
2023,Religious,Inbound,991.0,Annual
2023,Leisure,Inbound,508.0,Annual
2023,Business,Inbound,175.0,Annual
2023,Visiting Friends & Relatives,Inbound,427.0,Annual
2023,Other,Inbound,136.0,Annual
2023,Religious,Inbound,1115.0,Annual
2023,Leisure,Inbound,794.0,Annual
2023,Business,Inbound,194.0,Annual
2023,Visiting Friends & Relatives,Inbound,574.0,Annual
2023,Other,Inbound,226.0,Annual
2024,Religious,Inbound,1257.713,Annual
2024,Leisure,Inbound,732.011,Annual
2024,Business,Inbound,195.174,Annual
2024,Visiting Friends & Relatives,Inbound,678.976,Annual
2024,Other,Inbound,270.879,Annual
2024,Religious,Inbound,1378.683,Annual
2024,Leisure,Inbound,738.176,Annual
2024,Business,Inbound,178.69,Annual
2024,Visiting Friends & Relatives,Inbound,600.706,Annual
2024,Other,Inbound,214.93,Annual
2024,Religious,Inbound,1530.038,Annual
2024,Leisure,Inbound,728.061,Annual
2024,Business,Inbound,161.054,Annual
2024,Visiting Friends & Relatives,Inbound,595.089,Annual
2024,Other,Inbound,146.725,Annual
2024,Religious,Inbound,674.638,Annual
2024,Leisure,Inbound,685.348,Annual
2024,Business,Inbound,120.669,Annual
2024,Visiting Friends & Relatives,Inbound,458.508,Annual
2024,Other,Inbound,117.132,Annual
2024,Religious,Inbound,101.408,Annual
2024,Leisure,Inbound,496.035,Annual
2024,Business,Inbound,150.922,Annual
2024,Visiting Friends & Relatives,Inbound,648.3,Annual
2024,Other,Inbound,107.373,Annual
2024,Religious,Inbound,1668.119,Annual
2024,Leisure,Inbound,379.964,Annual
2024,Business,Inbound,130.941,Annual
2024,Visiting Friends & Relatives,Inbound,492.241,Annual
2024,Other,Inbound,118.275,Annual
2024,Religious,Inbound,538.839,Annual
2024,Leisure,Inbound,455.332,Annual
2024,Business,Inbound,144.818,Annual
2024,Visiting Friends & Relatives,Inbound,466.459,Annual
2024,Other,Inbound,150.29,Annual
2024,Religious,Inbound,796.615,Annual
2024,Leisure,Inbound,555.953,Annual
2024,Business,Inbound,148.856,Annual
2024,Visiting Friends & Relatives,Inbound,457.005,Annual
2024,Other,Inbound,179.983,Annual
2024,Religious,Inbound,854.681,Annual
2024,Leisure,Inbound,465.457,Annual
2024,Business,Inbound,153.199,Annual
2024,Visiting Friends & Relatives,Inbound,379.341,Annual
