"Month","Trip Purpose","Type of tourist","Tourists"
"2022-02","Leisure","Inbound",94.781
"2022-02","Business","Inbound",107.211
"2022-02","Visiting Friends & Relatives","Inbound",217.939
"2022-02","Other","Inbound",69.943
"2022-03","Religious","Inbound",371.53
"2022-03","Leisure","Inbound",143.001
"2022-03","Business","Inbound",162.75
"2022-03","Visiting Friends & Relatives","Inbound",407.161
"2022-03","Other","Inbound",132.671
"2022-04","Religious","Inbound",720.857
"2022-04","Leisure","Inbound",164.461
"2022-04","Business","Inbound",175.428
"2022-04","Visiting Friends & Relatives","Inbound",437.072
"2022-04","Other","Inbound",114.668
"2022-05","Religious","Inbound",280.005
"2022-05","Leisure","Inbound",103.096
"2022-05","Business","Inbound",141.474
"2022-05","Visiting Friends & Relatives","Inbound",473.081
"2022-05","Other","Inbound",106.716
"2022-06","Religious","Inbound",13.233
"2022-06","Leisure","Inbound",66.961
"2022-06","Business","Inbound",150.989
"2022-06","Visiting Friends & Relatives","Inbound",521.824
"2022-06","Other","Inbound",114.209
"2022-07","Religious","Inbound",809.919
"2022-07","Leisure","Inbound",122.463
"2022-07","Business","Inbound",114.53
"2022-07","Visiting Friends & Relatives","Inbound",536.926
"2022-07","Other","Inbound",181.787
"2022-08","Religious","Inbound",369.761
"2022-08","Leisure","Inbound",147.537
"2022-08","Business","Inbound",139.504
"2022-08","Visiting Friends & Relatives","Inbound",470.976
"2022-08","Other","Inbound",182.794
"2022-09","Religious","Inbound",618.299
"2022-09","Leisure","Inbound",215.272
"2022-09","Business","Inbound",140.42
"2022-09","Visiting Friends & Relatives","Inbound",474.835
"2022-09","Other","Inbound",90.152
"2022-10","Religious","Inbound",819.947
"2022-10","Leisure","Inbound",285.102
"2022-10","Business","Inbound",146.041
"2022-10","Visiting Friends & Relatives","Inbound",429.479
"2022-10","Other","Inbound",72.205
"2022-11","Religious","Inbound",823.165
"2022-11","Leisure","Inbound",404.009
"2022-11","Business","Inbound",138.716
"2022-11","Visiting Friends & Relatives","Inbound",384.382
"2022-11","Other","Inbound",89.749
"2022-12","Religious","Inbound",885.591
"2022-12","Leisure","Inbound",635.843
"2022-12","Business","Inbound",144.287
"2022-12","Visiting Friends & Relatives","Inbound",553.787
"2022-12","Other","Inbound",171.218
"2023-01","Religious","Inbound",1035
"2023-01","Leisure","Inbound",523
"2023-01","Business","Inbound",150
"2023-01","Visiting Friends & Relatives","Inbound",609
"2023-01","Other","Inbound",164
"2023-02","Religious","Inbound",1105
"2023-02","Leisure","Inbound",514
"2023-02","Business","Inbound",144
"2023-02","Visiting Friends & Relatives","Inbound",536
"2023-02","Other","Inbound",157
"2023-03","Religious","Inbound",1378
"2023-03","Leisure","Inbound",533
"2023-03","Business","Inbound",165
"2023-03","Visiting Friends & Relatives","Inbound",648
"2023-03","Other","Inbound",146
"2023-04","Religious","Inbound",1005
"2023-04","Leisure","Inbound",549
"2023-04","Business","Inbound",147
"2023-04","Visiting Friends & Relatives","Inbound",601
"2023-04","Other","Inbound",122
"2023-05","Religious","Inbound",348
"2023-05","Leisure","Inbound",386
"2023-05","Business","Inbound",166
"2023-05","Visiting Friends & Relatives","Inbound",513
"2023-05","Other","Inbound",101
"2023-06","Religious","Inbound",1715
"2023-06","Leisure","Inbound",424
"2023-06","Business","Inbound",129
"2023-06","Visiting Friends & Relatives","Inbound",479
"2023-06","Other","Inbound",101
"2023-07","Religious","Inbound",185
"2023-07","Leisure","Inbound",453
"2023-07","Business","Inbound",132
"2023-07","Visiting Friends & Relatives","Inbound",457
"2023-07","Other","Inbound",124
"2023-08","Religious","Inbound",749
"2023-08","Leisure","Inbound",580
"2023-08","Business","Inbound",146
"2023-08","Visiting Friends & Relatives","Inbound",507
"2023-08","Other","Inbound",127
"2023-09","Religious","Inbound",861
"2023-09","Leisure","Inbound",469
"2023-09","Business","Inbound",147
"2023-09","Visiting Friends & Relatives","Inbound",448
"2023-09","Other","Inbound",115
"2023-10","Religious","Inbound",981
"2023-10","Leisure","Inbound",513
"2023-10","Business","Inbound",169
"2023-10","Visiting Friends & Relatives","Inbound",402
"2023-10","Other","Inbound",126
"2023-11","Religious","Inbound",991
"2023-11","Leisure","Inbound",508
"2023-11","Business","Inbound",175
"2023-11","Visiting Friends & Relatives","Inbound",427
"2023-11","Other","Inbound",136
"2023-12","Religious","Inbound",1115
"2023-12","Leisure","Inbound",794
"2023-12","Business","Inbound",194
"2023-12","Visiting Friends & Relatives","Inbound",574
"2023-12","Other","Inbound",226
"2024-01","Religious","Inbound",1257.713
"2024-01","Leisure","Inbound",732.011
"2024-01","Business","Inbound",195.174
"2024-01","Visiting Friends & Relatives","Inbound",678.976
"2024-01","Other","Inbound",270.879
"2024-02","Religious","Inbound",1378.683
"2024-02","Leisure","Inbound",738.176
"2024-02","Business","Inbound",178.69
"2024-02","Visiting Friends & Relatives","Inbound",600.706
"2024-02","Other","Inbound",214.93
"2024-03","Religious","Inbound",1530.038
"2024-03","Leisure","Inbound",728.061
"2024-03","Business","Inbound",161.054
"2024-03","Visiting Friends & Relatives","Inbound",595.089
"2024-03","Other","Inbound",146.725
"2024-04","Religious","Inbound",674.638
"2024-04","Leisure","Inbound",685.348
"2024-04","Business","Inbound",120.669
"2024-04","Visiting Friends & Relatives","Inbound",458.508
"2024-04","Other","Inbound",117.132
"2024-05","Religious","Inbound",101.408
"2024-05","Leisure","Inbound",496.035
"2024-05","Business","Inbound",150.922
"2024-05","Visiting Friends & Relatives","Inbound",648.3
"2024-05","Other","Inbound",107.373
"2024-06","Religious","Inbound",1668.119
"2024-06","Leisure","Inbound",379.964
"2024-06","Business","Inbound",130.941
"2024-06","Visiting Friends & Relatives","Inbound",492.241
"2024-06","Other","Inbound",118.275
"2024-07","Religious","Inbound",538.839
"2024-07","Leisure","Inbound",455.332
"2024-07","Business","Inbound",144.818
"2024-07","Visiting Friends & Relatives","Inbound",466.459
"2024-07","Other","Inbound",150.29
"2024-08","Religious","Inbound",796.615
"2024-08","Leisure","Inbound",555.953
"2024-08","Business","Inbound",148.856
"2024-08","Visiting Friends & Relatives","Inbound",457.005
"2024-08","Other","Inbound",179.983
"2024-09","Religious","Inbound",854.681
"2024-09","Leisure","Inbound",465.457
"2024-09","Business","Inbound",153.199
"2024-09","Visiting Friends & Relatives","Inbound",379.341
"2024-09","Other","Inbound",118.828
"2024-10","Religious","Inbound",1066.706
"2024-10","Leisure","Inbound",625.018
"2024-10","Business","Inbound",177.16
"2024-10","Visiting Friends & Relatives","Inbound",374.869
"2024-10","Other","Inbound",172.844
"2024-11","Religious","Inbound",1117.704
"2024-11","Leisure","Inbound",686.583
"2024-11","Business","Inbound",190.262
"2024-11","Visiting Friends & Relatives","Inbound",387.193
"2024-11","Other","Inbound",159.905
"2024-12","Religious","Inbound",1345.827
"2024-12","Leisure","Inbound",957.739
"2024-12","Business","Inbound",224.025
"2024-12","Visiting Friends & Relatives","Inbound",410.944
"2024-12","Other","Inbound",208.23
